user_id,utc_date,model,wallet_type,cost,currency
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-20,deepseek-reasoner,Paid,0.7428040000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-21,deepseek-chat,Paid,1.0422600000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-21,deepseek-reasoner,Paid,0.6203960000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-22,deepseek-chat,Paid,0.4484500000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-22,deepseek-reasoner,Paid,0.4374120000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-23,deepseek-chat,Paid,0.9381300000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-24,deepseek-chat,Paid,0.4412550000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-24,deepseek-reasoner,Paid,0.2564840000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-25,deepseek-chat,Paid,0.2473670000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-25,deepseek-reasoner,Paid,0.8268720000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-26,deepseek-chat,Paid,0.7139760000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-27,deepseek-chat,Paid,0.3846510000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-28,deepseek-chat,Paid,1.1664820000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-28,deepseek-reasoner,Paid,0.2190200000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-29,deepseek-chat,Paid,0.0789560000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-30,deepseek-chat,Paid,0.1916540000000000,CNY
Wechat-5851fbf9-ac7a-4b00-baac-ebd9256bca3d,2025-04-30,deepseek-reasoner,Paid,0.8627920000000000,CNY
